N,P,K,temperature,humidity,ph,rainfall,label
73.48,34.61,43.11,10.28,91.89,6.23,110.11,orange
110.87,51.59,118.71,29.6,77.9,6.34,149.81,banana
68.68,47.08,43.42,25.42,86.0,5.94,205.4,rice
94.81,38.59,43.19,22.03,84.19,6.12,197.2,rice
13.58,57.06,29.11,19.2,61.57,6.83,44.74,lentil
19.56,39.68,29.44,31.97,85.33,6.86,78.66,mungbean
101.7,42.25,44.37,29.24,80.31,6.22,191.7,jute
119.8,57.7,46.34,24.34,55.29,6.38,64.71,maize
19.63,61.63,25.36,19.39,22.32,6.22,142.49,kidneybeans
49.64,60.7,77.97,4.94,91.4,5.65,175.23,apple
20.84,56.27,34.8,19.71,21.92,6.35,141.43,kidneybeans
105.83,42.75,99.12,27.06,88.94,6.43,180.45,papaya
24.17,39.36,21.96,32.05,57.86,6.7,55.61,mothbeans
126.05,56.26,37.07,24.46,64.42,6.45,79.86,maize
72.18,61.34,99.57,30.32,85.73,6.3,45.46,watermelon
15.75,48.11,38.28,30.25,49.86,6.39,87.86,pigeonpeas
92.72,51.2,80.89,26.08,93.56,5.78,172.94,papaya
23.09,72.39,34.4,19.59,21.86,6.32,106.47,kidneybeans
103.83,47.0,107.2,33.39,80.86,5.88,145.78,banana
85.67,38.85,114.57,31.36,94.02,6.44,182.97,coconut
76.99,46.65,150.92,34.46,93.76,5.95,167.1,coconut
105.57,40.57,65.65,22.9,76.79,6.92,69.87,grapes
27.12,50.1,33.9,26.14,59.57,6.59,62.27,pigeonpeas
66.8,60.66,86.25,31.79,84.88,6.48,49.35,watermelon
23.04,42.63,33.52,33.83,59.81,6.7,45.94,mothbeans
84.29,57.89,76.16,30.72,86.54,6.65,47.19,watermelon
103.77,48.08,59.38,24.59,84.83,6.06,208.47,coffee
92.81,42.56,36.82,18.61,82.76,5.53,189.01,coffee
107.82,54.25,71.22,31.74,68.22,5.92,63.54,pomegranate
16.33,50.51,26.73,27.97,48.37,6.99,74.77,pigeonpeas
33.54,36.26,30.81,31.45,49.79,6.47,86.32,pigeonpeas
93.63,43.91,43.74,22.05,67.5,6.65,79.17,grapes
76.77,45.86,48.06,20.68,80.67,5.99,211.84,rice
30.84,44.37,27.69,30.98,43.52,6.66,75.76,pigeonpeas
105.89,63.29,137.51,30.06,80.4,6.25,160.96,banana
84.08,56.76,60.22,33.97,57.73,6.37,71.15,pomegranate
24.7,50.95,30.93,28.63,51.73,6.79,79.07,pigeonpeas
89.11,59.39,77.19,27.96,85.74,6.35,52.25,watermelon
90.43,52.54,48.17,30.07,76.86,6.52,217.28,jute
91.43,30.5,37.91,25.34,83.66,5.81,154.93,rice
80.94,38.34,39.38,29.74,78.99,6.44,189.1,jute
98.3,34.2,52.85,11.19,95.22,6.92,138.04,orange
80.15,71.45,78.89,32.79,85.97,6.73,58.13,watermelon
94.05,38.87,38.5,32.38,51.67,6.82,177.84,mango
97.75,48.54,35.52,27.95,61.99,7.06,148.85,mango
83.38,57.65,117.52,33.6,94.05,6.87,26.37,muskmelon
47.43,61.84,78.23,8.21,94.68,5.97,162.46,apple
13.7,50.52,30.12,20.73,19.71,7.49,79.61,chickpea
114.84,41.05,47.49,34.25,82.88,6.4,203.26,jute
24.18,30.84,25.4,31.33,49.12,6.94,58.32,mothbeans
92.48,47.36,94.56,27.41,92.83,6.39,151.14,papaya
111.28,46.02,39.62,22.82,84.78,5.68,265.4,rice
22.15,63.17,22.61,15.94,63.18,6.6,50.45,lentil
81.2,58.0,30.0,21.55,67.18,6.35,85.12,maize
89.01,42.8,42.93,19.23,90.44,7.36,130.75,orange
16.39,56.02,28.7,20.59,20.59,6.33,134.49,kidneybeans
84.68,65.91,114.44,29.38,81.79,6.58,186.12,banana
84.11,40.67,47.77,30.26,58.09,6.31,154.8,mango
25.65,44.95,27.55,28.99,70.16,7.19,73.37,blackgram
88.07,40.54,41.33,24.37,60.89,7.11,174.51,mango
68.0,67.99,59.36,15.14,93.08,5.94,193.22,apple
89.63,53.32,59.69,17.84,73.86,6.62,73.73,grapes
92.66,53.71,37.53,23.44,58.21,6.54,79.07,maize
112.47,49.99,99.31,29.69,83.38,6.42,162.5,banana
98.02,71.02,63.22,21.94,60.26,6.85,82.43,cotton
108.17,55.87,40.94,17.83,91.18,7.25,146.31,orange
30.2,47.26,31.96,31.7,50.17,6.74,95.66,pigeonpeas
100.71,42.17,86.08,28.77,92.97,5.98,178.08,papaya
53.14,58.2,60.61,28.22,83.09,6.66,53.18,watermelon
16.52,43.31,35.34,28.61,84.46,7.31,76.33,mungbean
96.17,51.98,149.31,33.03,76.3,6.69,137.35,banana
92.59,40.04,50.26,15.31,96.31,6.8,164.69,orange
89.42,42.67,81.28,28.54,92.86,5.94,177.2,papaya
19.97,46.15,39.99,21.06,20.07,6.18,120.34,kidneybeans
12.47,50.48,29.55,19.77,17.69,7.07,72.71,chickpea
17.88,43.49,24.47,28.52,71.29,7.01,74.43,blackgram
30.59,48.15,28.6,35.02,54.7,6.26,49.52,mothbeans
28.6,41.01,30.67,30.83,68.44,7.05,72.43,blackgram
23.6,48.7,27.83,28.87,87.23,6.7,77.87,mungbean
79.94,65.6,87.55,33.55,81.27,6.51,41.91,watermelon
72.06,42.06,108.63,31.11,96.09,6.98,169.64,coconut
98.78,39.06,40.23,25.81,85.97,6.08,223.23,rice
72.51,35.65,108.62,29.75,91.02,6.85,167.71,coconut
13.41,69.53,34.43,23.6,15.94,6.95,74.36,chickpea
18.44,70.17,29.43,22.08,21.27,6.77,116.0,kidneybeans
11.54,79.76,27.57,20.14,18.62,6.82,84.45,chickpea
18.49,63.67,26.1,21.08,20.81,6.03,126.16,kidneybeans
21.06,50.96,36.36,28.79,82.71,6.1,68.51,mungbean
88.28,59.57,91.04,26.39,96.86,5.99,188.12,papaya
78.97,30.93,77.18,20.64,71.84,6.45,76.04,grapes
117.26,50.95,57.6,21.86,66.57,6.37,69.1,maize
26.78,35.1,35.42,35.83,58.69,6.87,56.16,mothbeans
85.08,32.21,50.2,19.2,62.4,6.38,69.58,grapes
14.85,30.47,32.55,27.07,85.55,6.66,85.26,mungbean
71.64,58.42,80.59,27.81,86.91,6.38,50.76,watermelon
99.18,42.99,43.14,31.34,80.27,6.59,203.58,jute
16.17,64.41,35.43,19.31,64.59,6.51,57.73,lentil
19.58,40.95,33.16,30.73,47.2,7.27,85.67,pigeonpeas
86.99,44.11,55.22,22.08,91.71,6.99,152.61,orange
18.85,75.68,31.47,20.46,20.98,6.36,135.42,kidneybeans
27.97,60.22,32.0,13.59,60.83,7.28,42.74,lentil
56.59,44.13,103.01,29.41,88.94,6.82,50.48,watermelon
117.66,40.14,88.91,30.22,93.84,5.76,185.45,papaya
22.2,41.64,22.24,31.38,68.67,6.7,87.35,blackgram
27.32,37.02,29.08,32.59,51.94,7.15,56.76,mothbeans
87.54,65.96,104.36,35.17,92.0,6.5,19.39,muskmelon
99.54,58.91,54.73,24.25,53.76,6.73,98.9,cotton
122.29,57.05,46.47,21.88,65.77,6.84,81.6,maize
105.23,45.04,60.0,31.64,55.17,6.22,53.08,pomegranate
96.57,43.53,44.43,20.39,86.12,5.71,205.5,coffee
18.9,45.46,24.65,34.79,59.89,6.6,52.11,mothbeans
69.65,45.63,119.24,30.15,89.85,7.17,165.11,coconut
92.72,45.57,83.19,25.97,93.01,6.49,176.75,papaya
60.73,51.33,45.44,23.42,86.08,6.16,217.21,coffee
99.73,47.32,38.93,24.85,74.39,6.73,181.08,jute
92.39,33.07,47.74,22.96,92.79,6.66,144.6,orange
29.42,55.17,35.48,32.58,55.54,6.43,61.93,pigeonpeas
85.85,34.31,43.78,23.82,86.13,6.2,209.41,rice
23.84,57.36,38.85,17.22,21.07,6.35,109.58,kidneybeans
82.36,57.6,42.44,25.89,80.71,6.43,188.05,coffee
130.93,64.34,66.69,23.67,53.67,6.64,89.15,cotton
19.11,50.53,26.92,17.83,62.01,6.68,43.97,lentil
152.55,52.83,46.72,26.13,54.22,7.0,72.61,cotton
21.61,66.5,28.82,24.47,15.5,6.52,75.37,chickpea
97.98,68.53,115.76,26.97,83.55,5.75,163.67,banana
76.55,41.12,36.03,27.79,58.61,6.49,195.44,mango
28.59,39.03,37.87,27.63,49.01,6.28,94.31,pigeonpeas
93.8,49.79,48.48,21.42,82.13,5.96,204.64,coffee
106.77,35.84,48.97,21.45,84.57,5.83,276.92,rice
19.22,62.54,22.48,22.71,21.59,6.37,134.8,kidneybeans
65.7,52.68,116.23,30.95,94.67,5.61,178.99,coconut
147.82,53.78,71.73,24.06,65.91,6.6,86.75,cotton
99.01,43.01,142.26,29.23,94.28,6.95,159.78,coconut
30.01,47.87,21.5,34.04,57.94,6.87,80.94,pigeonpeas
102.92,45.5,39.88,23.22,85.21,5.93,208.26,rice
19.31,65.07,25.95,22.47,16.66,6.54,75.1,chickpea
18.56,44.05,22.52,16.8,64.24,6.8,44.4,lentil
73.71,48.67,91.0,30.12,93.27,6.81,36.51,muskmelon
12.18,55.48,32.8,24.18,16.49,6.81,92.3,chickpea
114.4,34.38,41.08,15.87,92.54,6.62,159.33,orange
23.66,30.34,38.52,31.21,58.64,6.61,62.8,mothbeans
71.75,60.39,91.94,32.43,93.33,6.08,28.66,muskmelon
86.96,45.43,96.57,31.77,89.53,6.11,181.95,papaya
20.95,37.49,37.52,29.94,70.04,6.62,87.99,blackgram
23.53,66.22,28.39,25.16,19.97,6.5,85.19,chickpea
26.54,47.87,33.31,36.67,54.27,7.26,60.8,mothbeans
74.76,51.54,80.0,29.94,91.62,6.54,165.85,coconut
12.35,66.32,20.73,23.06,17.23,6.49,81.29,chickpea
18.4,40.36,32.38,27.77,86.4,6.88,74.14,mungbean
66.47,62.85,76.01,10.55,93.37,6.01,167.93,apple
87.33,44.29,84.88,26.29,80.65,6.91,66.14,watermelon
93.73,49.19,103.96,22.45,90.73,6.39,169.1,papaya
26.27,44.88,30.07,15.62,63.09,6.52,47.89,lentil
137.82,61.48,102.16,34.07,77.94,6.89,194.78,banana
28.77,36.5,31.16,30.27,89.96,6.99,89.89,mungbean
14.64,59.67,29.2,30.84,67.83,7.45,85.49,blackgram
58.35,60.85,65.88,10.18,90.81,6.23,149.2,apple
74.53,48.42,96.23,28.68,89.98,6.49,46.28,watermelon
66.74,43.73,55.93,27.66,72.41,6.5,198.09,jute
29.01,50.26,31.9,32.19,82.63,6.7,74.8,mungbean
102.28,76.9,81.04,29.1,81.82,6.22,149.46,banana
72.73,66.53,83.72,28.71,84.48,6.88,54.47,watermelon
17.59,51.77,35.53,18.35,21.0,6.36,122.67,kidneybeans
76.86,59.22,50.2,22.44,91.1,6.32,225.86,coffee
100.31,41.75,54.41,25.08,94.41,6.67,149.14,orange
122.77,56.59,56.39,20.36,59.22,6.41,68.46,maize
112.82,40.79,49.01,27.28,62.34,6.34,78.82,maize
23.11,46.61,20.73,32.49,46.5,6.96,72.44,pigeonpeas
86.1,46.21,45.04,24.86,86.45,5.73,270.2,rice
87.04,79.14,95.28,27.2,78.37,6.34,57.74,watermelon
73.58,54.9,117.74,36.05,94.09,6.28,24.19,muskmelon
68.94,68.95,81.77,28.48,82.52,6.8,64.31,watermelon
108.8,44.3,46.83,23.51,85.6,5.97,220.19,coffee
81.54,43.78,111.71,30.42,94.35,5.99,151.6,coconut
94.77,45.76,57.5,29.78,64.0,6.54,60.09,pomegranate
85.73,45.82,45.19,24.65,88.68,5.99,260.67,rice
19.3,47.45,28.45,19.62,19.7,6.54,110.97,kidneybeans
94.08,35.65,69.08,20.75,67.17,5.86,67.94,grapes
31.3,48.35,31.03,33.6,51.4,6.68,74.65,pigeonpeas
97.32,44.89,46.92,29.97,63.24,6.26,118.4,mango
68.83,45.79,92.53,34.04,92.98,6.77,28.08,muskmelon
18.76,57.98,24.45,22.79,21.08,6.72,86.23,chickpea
24.65,52.43,39.76,27.43,49.34,6.66,66.69,pigeonpeas
23.53,49.01,29.71,30.97,84.8,6.62,78.06,mungbean
115.7,76.46,112.31,31.42,80.42,6.16,164.24,banana
25.68,47.8,29.92,32.22,49.24,7.12,89.55,pigeonpeas
72.36,53.82,116.49,29.33,90.25,6.66,151.71,coconut
78.19,41.84,44.84,19.77,87.35,5.92,188.72,coffee
28.0,43.55,25.04,30.95,59.3,6.79,79.42,pigeonpeas
85.6,48.83,76.69,24.96,95.37,5.8,166.85,papaya
92.84,50.76,48.29,27.77,60.23,7.47,128.58,mango
19.14,57.39,28.78,23.25,20.49,6.52,98.92,chickpea
20.66,48.35,36.14,31.38,71.72,6.76,77.76,blackgram
110.59,63.93,44.51,29.4,62.48,6.58,90.66,cotton
20.42,37.08,25.31,29.7,71.43,6.84,79.38,blackgram
103.72,51.96,47.34,21.73,59.95,6.12,61.28,maize
121.9,60.04,56.64,26.43,57.21,6.65,79.98,cotton
22.68,48.12,32.53,31.69,46.1,6.79,71.86,mothbeans
98.69,40.04,57.0,30.72,50.91,6.68,68.41,pomegranate
118.51,59.52,52.6,26.18,63.27,6.74,90.17,maize
111.39,49.76,54.45,23.73,71.04,6.36,72.79,maize
67.05,42.23,41.27,23.66,95.02,7.04,142.62,orange
77.89,76.76,74.59,28.19,90.91,6.32,32.41,muskmelon
24.87,64.15,23.97,19.09,21.9,6.84,122.55,kidneybeans
23.0,59.45,31.96,20.5,21.98,6.27,123.16,kidneybeans
99.12,42.94,44.7,21.84,85.15,6.31,213.96,rice
70.25,45.96,73.82,22.44,70.35,6.02,72.47,grapes
103.2,54.78,43.77,25.18,84.99,5.68,217.55,coffee
29.31,44.01,23.39,31.68,51.67,7.12,77.29,pigeonpeas
25.23,44.87,31.63,29.62,51.46,7.12,90.39,pigeonpeas
110.29,51.45,67.16,34.41,56.0,6.26,72.37,pomegranate
76.2,43.47,38.64,33.53,73.79,6.48,157.08,jute
17.09,60.36,28.98,20.33,16.01,7.42,77.45,chickpea
20.45,69.12,29.84,13.88,65.95,6.68,43.81,lentil
10.0,66.14,27.86,16.53,63.88,6.81,48.28,lentil
24.53,45.93,37.45,31.32,51.62,6.82,41.31,mothbeans
20.95,45.83,33.36,30.34,52.45,7.36,95.11,pigeonpeas
108.3,50.76,42.08,22.83,63.15,6.27,72.91,maize
18.51,41.13,31.74,29.39,86.55,7.13,76.79,mungbean
28.79,38.57,38.93,32.94,58.41,6.64,57.09,mothbeans
113.54,58.96,131.33,32.39,84.55,6.36,133.3,banana
97.86,61.8,59.04,26.42,60.66,6.71,84.44,cotton
78.4,50.28,122.11,28.18,93.06,7.19,161.21,coconut
54.13,62.82,51.83,13.88,93.19,5.99,143.27,apple
90.73,39.93,51.8,31.7,83.5,6.01,188.03,jute
79.16,32.22,63.41,19.86,73.37,6.4,70.1,grapes
17.53,61.77,28.68,23.73,17.56,6.92,74.99,chickpea
98.63,46.65,50.09,23.71,70.59,7.3,66.48,grapes
22.25,49.01,25.37,18.3,21.85,5.98,107.36,kidneybeans
24.3,47.98,31.68,21.98,22.58,6.5,121.8,kidneybeans
71.57,63.88,100.89,32.73,91.0,6.57,27.74,muskmelon
23.08,44.26,32.37,34.56,54.11,6.59,78.11,pigeonpeas
38.44,38.17,33.9,29.84,52.51,7.19,97.93,pigeonpeas
77.7,37.79,92.5,22.26,94.15,6.06,182.52,papaya
24.01,50.11,21.63,29.82,45.54,7.01,82.18,pigeonpeas
84.05,75.75,95.48,28.66,84.83,6.55,52.43,watermelon
102.65,35.27,47.28,27.94,59.78,6.96,157.01,mango
29.09,49.44,33.83,33.53,70.24,6.66,84.65,blackgram
75.11,55.0,96.26,30.47,93.11,6.68,24.89,muskmelon
16.72,64.82,29.19,22.68,18.96,5.88,131.47,kidneybeans
105.36,48.7,45.92,23.88,87.04,6.17,197.28,rice
23.64,67.78,32.48,18.87,21.25,6.43,122.39,kidneybeans
81.27,42.35,46.27,18.01,92.85,6.4,135.83,orange
19.78,35.73,25.35,30.05,70.88,6.35,82.4,blackgram
121.17,48.9,55.51,24.09,60.59,7.1,89.91,cotton
24.5,62.18,25.15,14.05,66.9,6.2,39.6,lentil
25.06,69.28,24.74,24.46,17.13,6.65,80.25,chickpea
82.36,57.39,40.51,20.04,68.84,6.37,71.95,maize
119.95,42.42,45.41,15.84,90.83,6.43,134.86,orange
21.79,44.6,26.93,30.63,69.95,7.24,83.04,blackgram
90.07,46.03,74.89,20.6,63.87,6.55,74.72,grapes
13.0,63.68,30.64,21.32,19.33,7.34,67.17,chickpea
53.36,56.61,65.6,15.22,93.1,6.13,125.72,apple
25.61,55.34,28.01,30.97,49.15,6.86,67.83,pigeonpeas
13.62,55.02,36.52,16.8,64.0,6.9,44.09,lentil
94.44,48.36,59.99,23.18,66.34,6.47,50.05,maize
90.67,46.81,35.01,27.71,89.79,5.83,196.31,coffee
15.39,59.69,29.87,26.41,51.29,6.99,85.41,pigeonpeas
95.67,58.98,76.04,25.68,69.91,6.8,73.65,cotton
135.88,67.61,49.34,25.25,69.68,6.76,67.29,cotton
83.65,38.12,44.2,31.67,81.56,6.77,195.5,jute
80.02,49.74,37.8,25.75,81.89,6.74,206.84,jute
69.93,34.51,40.06,24.14,82.99,5.97,236.66,rice
140.54,54.71,53.22,25.23,61.36,6.99,88.2,cotton
97.9,56.53,114.77,29.33,80.36,6.34,168.23,banana
107.88,64.97,43.54,20.61,62.18,6.64,85.55,maize
80.98,47.27,44.6,20.39,85.59,6.25,188.57,coffee
24.23,47.73,27.28,30.54,65.68,6.3,85.13,blackgram
73.06,54.29,96.45,32.54,92.21,6.27,20.56,muskmelon
63.82,60.76,64.41,7.48,93.6,6.13,163.68,apple
75.15,43.05,109.45,23.82,92.39,6.28,186.12,papaya
88.53,35.86,46.5,20.16,90.0,7.42,187.43,orange
26.57,66.83,29.17,17.02,56.52,6.34,42.95,lentil
24.57,36.8,34.65,30.67,61.36,7.09,61.86,mothbeans
90.77,51.8,77.26,29.49,93.55,6.53,31.15,muskmelon
92.53,42.05,45.21,18.89,73.64,5.76,77.44,grapes
51.6,74.09,51.97,15.39,91.34,6.18,145.46,apple
82.75,47.27,55.56,23.87,83.17,5.72,217.75,rice
86.48,42.82,50.23,24.89,82.52,6.2,199.37,rice
103.48,49.57,44.37,30.54,54.78,6.1,68.11,pomegranate
74.38,53.09,51.34,24.3,83.9,6.2,196.57,jute
102.35,54.4,58.24,22.77,59.88,6.44,84.35,maize
22.25,60.81,31.17,22.71,18.33,6.23,65.35,chickpea
23.7,34.98,28.04,31.42,73.6,6.83,92.07,blackgram
109.34,59.27,92.19,29.31,82.92,5.86,100.0,banana
92.97,42.15,100.02,26.83,94.31,5.75,170.71,papaya
101.53,51.87,46.51,31.29,75.95,6.97,208.8,jute
110.33,66.75,153.5,30.37,81.89,5.91,167.4,banana
20.11,56.29,26.13,17.87,21.8,6.23,126.8,kidneybeans
111.73,54.38,62.77,31.46,65.96,6.03,68.16,pomegranate
77.58,76.72,63.01,2.31,93.38,5.98,162.36,apple
108.63,54.17,102.31,32.69,80.61,6.5,167.71,banana
22.31,46.5,31.75,30.5,49.75,6.75,56.34,mothbeans
118.51,34.85,91.83,25.67,95.01,6.08,173.41,papaya
75.7,48.15,115.97,25.45,92.5,6.21,171.11,papaya
79.14,43.8,47.33,35.08,63.67,6.59,72.24,pomegranate
64.08,46.82,136.21,25.18,91.1,6.8,179.04,coconut
24.44,76.03,28.99,17.07,23.37,6.23,124.28,kidneybeans
76.89,61.17,77.2,29.29,87.38,6.55,51.52,watermelon
12.88,67.28,36.9,22.08,21.45,6.26,88.33,chickpea
82.24,36.78,44.75,22.98,84.72,6.1,160.19,coffee
83.38,47.48,51.44,10.08,93.01,6.94,143.09,orange
89.51,45.2,42.89,30.35,57.57,6.65,185.39,mango
27.9,37.33,36.25,30.05,59.08,6.82,86.05,pigeonpeas
88.51,36.25,57.11,30.58,54.22,6.35,60.82,pomegranate
88.11,59.0,66.89,23.37,65.33,6.98,88.8,cotton
76.55,41.81,44.24,31.76,54.51,6.82,129.83,mango
28.1,53.46,27.96,32.88,54.72,6.66,85.26,pigeonpeas
20.16,57.54,34.18,20.76,18.27,6.1,78.67,chickpea
22.54,48.6,25.91,30.67,68.67,6.63,80.99,blackgram
89.3,54.77,72.61,24.58,82.29,6.41,51.82,watermelon
92.5,47.76,126.74,27.68,90.46,7.2,189.98,coconut
53.08,64.56,75.84,12.21,88.45,6.19,127.75,apple
114.27,52.96,43.26,23.12,68.45,6.27,76.54,maize
110.41,66.56,79.9,23.58,57.24,6.58,75.88,cotton
96.35,40.46,38.22,11.84,92.29,6.78,181.99,orange
139.21,56.99,41.69,23.69,68.11,6.33,78.53,maize
17.96,66.76,33.54,14.28,59.05,6.61,46.72,lentil
25.32,48.8,35.2,29.57,56.84,7.0,56.5,mothbeans
22.5,52.55,36.38,22.29,18.36,6.75,93.79,chickpea
22.38,47.85,33.75,22.45,17.62,6.57,73.36,chickpea
84.71,30.28,35.63,23.94,84.89,5.54,193.53,rice
11.75,58.61,29.78,17.64,59.51,6.57,59.61,lentil
73.32,49.06,56.94,14.96,92.22,6.28,148.98,orange
13.83,74.75,30.38,15.35,21.75,6.37,132.35,kidneybeans
96.39,55.39,51.49,24.0,71.35,6.58,58.31,maize
18.12,41.71,35.04,35.0,46.54,7.05,57.98,mothbeans
15.55,43.81,37.29,22.88,20.63,6.63,89.92,chickpea
22.71,69.0,31.25,18.31,23.27,6.27,121.47,kidneybeans
98.9,43.0,55.69,34.54,59.11,5.8,71.73,pomegranate
74.85,59.94,94.14,25.83,90.61,5.95,164.17,papaya
62.03,48.45,45.5,23.71,93.08,6.84,174.31,orange
19.42,40.18,33.51,27.36,69.71,6.31,93.35,blackgram
95.91,50.49,67.45,28.69,53.88,6.96,69.47,pomegranate
82.11,43.89,70.05,19.86,72.16,7.45,78.81,grapes
94.13,47.34,60.64,25.72,54.3,5.97,57.62,pomegranate
99.59,52.32,69.49,32.66,80.77,6.27,43.2,watermelon
66.77,67.98,69.21,0.72,96.64,5.96,168.64,apple
15.74,69.02,29.27,23.61,20.98,7.25,83.06,chickpea
102.39,39.21,45.89,26.76,77.71,6.43,194.54,jute
18.64,65.72,34.43,18.44,58.89,6.86,49.07,lentil
107.5,64.75,68.38,25.55,62.77,6.17,83.91,cotton
121.13,66.27,60.9,23.53,61.17,6.99,86.29,cotton
113.56,60.73,147.17,29.65,79.07,6.5,131.25,banana
12.74,62.29,29.85,18.16,19.79,6.51,131.33,kidneybeans
20.7,35.34,25.87,27.81,82.82,6.74,67.18,mungbean
14.18,39.32,25.85,29.95,68.34,6.66,67.61,blackgram
69.26,42.23,128.16,31.43,91.54,6.02,152.79,coconut
106.73,43.7,74.21,27.55,95.46,6.43,188.25,papaya
92.85,56.39,53.44,19.76,70.81,6.84,84.32,grapes
95.17,51.44,77.57,17.81,72.15,6.71,74.4,grapes
18.48,46.77,28.57,32.91,69.34,6.94,75.02,blackgram
19.97,58.02,25.14,20.59,17.05,6.14,82.54,chickpea
21.92,44.66,32.56,33.31,50.71,6.83,64.43,mothbeans
79.29,43.67,45.52,36.61,75.8,6.62,159.77,jute
108.59,36.61,74.84,27.56,88.99,6.5,167.8,papaya
78.15,31.53,39.63,21.53,85.02,5.91,202.28,rice
90.47,38.73,38.83,24.43,85.27,6.08,211.32,coffee
59.58,54.21,90.54,33.16,94.35,6.54,19.5,muskmelon
83.19,44.3,113.1,31.65,94.6,6.22,34.57,muskmelon
20.84,58.63,31.82,17.91,65.92,6.87,44.33,lentil
34.91,51.63,25.93,28.44,46.86,6.43,80.89,pigeonpeas
124.73,69.85,116.2,34.58,80.01,6.44,137.55,banana
88.85,51.53,34.37,31.81,81.17,6.21,185.08,jute
28.79,41.95,32.46,17.9,63.78,6.85,49.42,lentil
18.83,42.97,29.67,33.79,69.21,6.57,83.07,blackgram
18.67,73.67,29.73,21.22,19.55,6.94,75.36,chickpea
18.71,55.96,28.42,35.48,61.54,6.93,45.67,mothbeans
12.62,65.91,28.92,17.29,63.77,7.08,51.07,lentil
26.0,40.89,21.62,31.8,50.48,7.02,57.29,mothbeans
90.14,37.69,38.76,23.75,93.58,6.98,161.84,orange
67.11,55.86,55.35,24.05,60.44,6.73,136.79,mango
74.8,45.76,116.71,30.2,92.81,6.62,169.4,coconut
82.36,68.69,103.68,30.66,79.92,6.72,56.04,watermelon
87.27,57.49,43.16,16.03,91.35,7.32,151.15,orange
129.74,66.78,56.66,20.2,66.23,6.44,87.28,maize
115.61,57.38,157.66,34.5,80.48,6.66,160.71,banana
129.15,54.84,41.06,23.3,69.1,6.6,64.41,maize
63.71,52.73,94.71,35.31,91.63,6.72,24.52,muskmelon
80.5,35.19,43.08,24.99,80.69,5.9,208.59,rice
76.92,39.84,54.14,20.19,78.05,5.63,192.66,coffee
62.3,60.98,112.02,29.66,84.56,6.76,45.52,watermelon
88.99,42.84,49.7,20.91,82.9,5.95,190.83,coffee
66.32,37.76,50.04,22.87,83.52,5.72,191.25,rice
31.69,47.46,31.65,29.65,50.4,7.18,84.38,pigeonpeas
63.28,45.02,49.48,27.44,83.78,6.23,202.39,jute
56.28,46.12,63.04,12.72,94.09,6.45,130.38,apple
90.5,74.82,57.31,25.57,57.93,6.87,83.9,cotton
95.46,47.46,47.43,31.69,40.3,6.27,65.33,pomegranate
21.63,50.79,25.46,34.26,61.64,6.7,52.23,mothbeans
14.51,39.39,28.19,30.39,86.53,6.87,93.34,mungbean
73.82,41.88,67.53,34.96,56.47,6.77,61.4,pomegranate
28.53,54.23,31.07,31.0,57.7,6.69,81.59,pigeonpeas
16.82,78.83,28.99,18.08,19.24,7.0,76.55,chickpea
69.5,48.34,47.47,23.73,83.68,5.78,255.21,rice
63.49,52.82,35.47,28.47,61.94,6.55,173.17,mango
65.61,62.34,92.71,32.26,91.18,6.55,31.0,muskmelon
111.14,38.27,70.57,29.87,52.53,6.67,65.14,pomegranate
27.77,55.92,27.18,18.62,21.44,6.62,114.16,kidneybeans
107.05,50.33,125.48,31.03,82.38,6.06,154.54,banana
82.33,49.82,134.33,28.86,94.09,7.5,167.26,coconut
97.33,60.3,131.21,32.61,80.63,6.08,160.63,banana
81.36,50.86,32.21,25.98,88.88,7.33,122.36,orange
16.01,62.65,30.33,24.3,17.53,6.72,98.63,chickpea
27.07,50.54,28.82,31.88,88.02,6.7,72.41,mungbean
81.99,30.07,51.26,29.74,77.55,6.65,194.27,jute
71.26,70.08,56.73,4.04,92.14,5.75,148.02,apple
17.98,71.29,31.08,22.02,20.19,6.3,92.36,chickpea
79.86,66.79,88.34,33.29,90.66,6.61,26.56,muskmelon
75.29,49.48,52.36,24.98,84.39,5.9,296.12,rice
94.81,40.22,109.29,27.31,94.67,6.25,161.41,papaya
78.71,48.78,125.77,31.11,88.75,6.34,154.55,coconut
59.86,67.66,58.04,10.84,88.54,5.96,145.1,apple
79.64,32.73,39.86,26.9,59.17,6.23,153.24,mango
86.01,43.03,89.59,36.07,91.88,6.56,33.65,muskmelon
14.51,61.57,27.43,20.25,58.49,6.43,42.24,lentil
28.9,50.55,34.48,19.6,63.35,6.5,44.68,lentil
17.58,47.93,27.15,30.52,80.62,6.83,81.09,mungbean
86.29,34.67,40.92,25.53,76.39,6.51,198.62,jute
82.76,42.49,85.97,32.75,92.1,6.58,157.16,coconut
10.97,64.56,21.33,22.03,20.06,6.65,61.96,chickpea
10.44,74.66,27.79,17.72,58.78,6.93,50.43,lentil
74.34,34.87,43.01,20.91,85.01,6.24,246.56,coffee
96.95,33.04,46.71,17.89,96.67,6.9,144.47,orange
97.7,47.59,38.16,30.3,48.61,7.08,128.2,mango
61.38,32.96,118.17,29.76,96.95,6.52,163.56,coconut
19.04,47.52,28.52,27.6,69.79,7.08,87.46,blackgram
98.09,45.8,105.35,24.63,93.91,6.22,185.93,papaya
97.55,40.1,41.22,28.9,52.51,6.29,110.99,mango
